file_path: experiment/datasets/fjsp.hurink.vdata-la17.m10j10c9.txt
Total time: 2435
Total time: 960
Total time: 916
Total time: 915
Total time: 889
Total time: 880
Total time: 880
Total time: 879
Total time: 879
Total time: 873
Total time: 873
Total time: 872
Total time: 869
Total time: 869
Total time: 850
Total time: 843
Total time: 831
Total time: 830
Total time: 830
Total time: 822
Total time: 822
Total time: 822
Total time: 822
Total time: 822
Total time: 822
Total time: 822
Total time: 822
Total time: 822
Total time: 822
Total time: 740
Total time: 738
Total time: 738
Total time: 738
Total time: 738
Total time: 732
Total time: 732
Total time: 732
Total time: 732
Total time: 732
Total time: 732
Total time: 732
Total time: 732
Total time: 732
Total time: 732
Total time: 732
Total time: 732
Total time: 732
Total time: 732
Total time: 732
Total time: 732
Total time: 732
Total time: 732
Total time: 732
Total time: 732
Total time: 732
Total time: 732
Time cost: 2880s

