file_path: experiment/datasets/fjsp.dauzere.05a.m5j10c4.txt
Total time: 9175
Total time: 3447
Total time: 3391
Total time: 3347
Total time: 3151
Total time: 3151
Total time: 3151
Total time: 3151
Total time: 3061
Total time: 2996
Total time: 2949
Total time: 2918
Total time: 2918
Total time: 2918
Total time: 2918
Total time: 2900
Total time: 2885
Total time: 2885
Total time: 2885
Total time: 2885
Total time: 2869
Total time: 2869
Total time: 2814
Total time: 2814
Total time: 2814
Total time: 2814
Total time: 2814
Total time: 2800
Total time: 2800
Total time: 2800
Total time: 2800
Total time: 2800
Total time: 2800
Total time: 2800
Total time: 2770
Total time: 2770
Total time: 2770
Total time: 2770
Total time: 2770
Total time: 2760
Total time: 2751
Total time: 2748
Total time: 2748
Total time: 2748
Total time: 2748
Total time: 2731
Total time: 2731
Total time: 2711
Total time: 2708
Total time: 2708
Total time: 2708
Total time: 2706
Total time: 2701
Total time: 2701
Total time: 2684
Total time: 2670
Total time: 2670
Total time: 2668
Total time: 2668
Total time: 2668
Total time: 2668
Total time: 2668
Total time: 2668
Total time: 2668
Total time: 2668
Total time: 2651
Total time: 2651
Total time: 2651
Total time: 2651
Total time: 2651
Total time: 2651
Total time: 2651
Total time: 2651
Total time: 2651
Total time: 2651
Total time: 2620
Total time: 2620
Total time: 2620
Total time: 2605
Total time: 2604
Total time: 2604
Total time: 2604
Total time: 2604
Total time: 2604
Total time: 2604
Total time: 2604
Total time: 2604
Total time: 2604
Total time: 2604
Total time: 2578
Total time: 2578
Total time: 2578
Total time: 2578
Total time: 2578
Total time: 2578
Total time: 2578
Total time: 2578
Total time: 2578
Total time: 2578
Total time: 2578
Total time: 2578
Total time: 2578
Total time: 2578
Total time: 2578
Total time: 2578
Total time: 2578
Total time: 2578
Total time: 2578
Total time: 2578
Total time: 2578
Total time: 2578
Time cost: 18408s

