file_path: experiment/datasets/fjsp.dauzere.17a.m10j20c7.txt
Total time: 17296
Total time: 3844
Total time: 3786
Total time: 3588
Total time: 3562
Total time: 3562
Total time: 3562
Total time: 3529
Total time: 3519
Total time: 3519
Total time: 3519
Total time: 3519
Total time: 3510
Total time: 3504
Total time: 3491
Total time: 3462
Total time: 3462
Total time: 3462
Total time: 3436
Total time: 3418
Total time: 3418
Total time: 3415
Total time: 3381
Total time: 3381
Total time: 3369
Total time: 3369
Total time: 3367
Total time: 3342
Total time: 3328
Total time: 3328
Total time: 3310
Total time: 3307
Total time: 3305
Total time: 3303
Total time: 3303
Total time: 3289
Total time: 3289
Total time: 3289
Time cost: 30279s

