file_path: experiment/datasets/fjsp.hurink.vdata-la03.m5j10c5.txt
Total time: 1255
Total time: 616
Total time: 616
Total time: 616
Total time: 616
Total time: 616
Total time: 616
Total time: 590
Total time: 590
Total time: 590
Total time: 590
Total time: 590
Total time: 590
Total time: 590
Total time: 590
Total time: 590
Total time: 576
Total time: 562
Total time: 543
Total time: 543
Total time: 543
Total time: 543
Total time: 533
Total time: 533
Total time: 530
Total time: 528
Total time: 528
Total time: 528
Total time: 528
Total time: 528
Total time: 528
Total time: 528
Total time: 528
Total time: 528
Total time: 528
Total time: 528
Total time: 528
Total time: 528
Total time: 528
Total time: 528
Total time: 528
Total time: 528
Total time: 528
Total time: 528
Total time: 528
Total time: 528
Total time: 528
Time cost: 587s

