file_path: experiment/datasets/fjsp.dauzere.01a.m5j10c3.txt
Total time: 10219
Total time: 3451
Total time: 3401
Total time: 3376
Total time: 3376
Total time: 3376
Total time: 3376
Total time: 3376
Total time: 3367
Total time: 3353
Total time: 3329
Total time: 3321
Total time: 3321
Total time: 3321
Total time: 3321
Total time: 3291
Total time: 3287
Total time: 3287
Total time: 3287
Total time: 3287
Total time: 3272
Total time: 3272
Total time: 3270
Total time: 3270
Total time: 3270
Total time: 3270
Total time: 3270
Total time: 3263
Total time: 3263
Total time: 3263
Total time: 3263
Total time: 3263
Total time: 3263
Total time: 3263
Total time: 3255
Total time: 3255
Total time: 3255
Total time: 3255
Total time: 3255
Total time: 3245
Total time: 3240
Total time: 3230
Total time: 3230
Total time: 3230
Total time: 3230
Total time: 3212
Total time: 3212
Total time: 3179
Total time: 3171
Total time: 3171
Total time: 3171
Total time: 3170
Total time: 3134
Total time: 3134
Total time: 3131
Total time: 3131
Total time: 3131
Total time: 3131
Total time: 3131
Total time: 3131
Total time: 3131
Total time: 3131
Total time: 3131
Total time: 3131
Total time: 3131
Total time: 3131
Total time: 3131
Total time: 3131
Total time: 3131
Total time: 3131
Total time: 3131
Total time: 3131
Total time: 3131
Total time: 3131
Total time: 3131
Total time: 3131
Time cost: 10838s

