file_path: experiment/datasets/fjsp.brandimarte.Mk06.m15j10c5.txt
Total time: 554
Total time: 107
Total time: 105
Total time: 102
Total time: 99
Total time: 97
Total time: 97
Total time: 97
Total time: 97
Total time: 92
Total time: 91
Total time: 90
Total time: 90
Total time: 90
Total time: 90
Total time: 90
Total time: 90
Total time: 90
Total time: 90
Total time: 90
Total time: 90
Total time: 88
Total time: 88
Total time: 88
Total time: 88
Total time: 88
Total time: 88
Total time: 88
Total time: 88
Total time: 88
Total time: 88
Total time: 87
Total time: 87
Total time: 87
Total time: 87
Total time: 87
Total time: 87
Total time: 87
Total time: 87
Total time: 87
Total time: 87
Total time: 87
Total time: 87
Total time: 87
Total time: 86
Total time: 86
Total time: 86
Total time: 86
Total time: 86
Total time: 86
Total time: 86
Total time: 86
Total time: 86
Total time: 86
Total time: 86
Total time: 86
Total time: 86
Total time: 86
Total time: 86
Total time: 86
Total time: 86
Total time: 86
Total time: 86
Total time: 86
Total time: 86
Total time: 86
Time cost: 15840s

