file_path: experiment/datasets/fjsp.dauzere.11a.m8j15c6.txt
Total time: 14043
Total time: 3751
Total time: 3650
Total time: 3634
Total time: 3634
Total time: 3555
Total time: 3501
Total time: 3501
Total time: 3501
Total time: 3501
Total time: 3456
Total time: 3382
Total time: 3382
Total time: 3359
Total time: 3329
Total time: 3308
Total time: 3288
Total time: 3288
Total time: 3269
Total time: 3269
Total time: 3269
Total time: 3269
Total time: 3269
Total time: 3259
Total time: 3246
Total time: 3246
Total time: 3223
Total time: 3223
Total time: 3219
Total time: 3205
Total time: 3190
Total time: 3190
Total time: 3189
Total time: 3189
Total time: 3189
Total time: 3187
Total time: 3150
Total time: 3147
Total time: 3146
Total time: 3088
Total time: 3085
Total time: 3065
Total time: 3065
Total time: 3065
Total time: 3035
Total time: 3035
Total time: 3035
Total time: 3029
Total time: 3029
Total time: 3023
Total time: 3023
Total time: 3014
Total time: 3014
Total time: 3014
Total time: 3008
Total time: 3008
Total time: 3008
Total time: 3008
Total time: 3008
Total time: 3008
Total time: 3008
Total time: 3008
Total time: 3008
Total time: 3008
Total time: 3008
Total time: 2864
Total time: 2864
Total time: 2861
Total time: 2861
Total time: 2861
Total time: 2861
Total time: 2861
Total time: 2848
Total time: 2842
Total time: 2842
Total time: 2836
Total time: 2824
Total time: 2824
Total time: 2802
Total time: 2790
Total time: 2790
Total time: 2779
Total time: 2779
Total time: 2779
Total time: 2771
Total time: 2771
Time cost: 30037s

