file_path: experiment/datasets/fjsp.dauzere.16a.m10j20c4.txt
Total time: 18081
Total time: 4011
Total time: 3901
Total time: 3901
Total time: 3834
Total time: 3711
Total time: 3711
Total time: 3628
Total time: 3545
Total time: 3545
Total time: 3545
Total time: 3545
Total time: 3501
Total time: 3480
Total time: 3454
Total time: 3447
Total time: 3447
Total time: 3447
Total time: 3445
Total time: 3414
Total time: 3414
Total time: 3414
Total time: 3414
Total time: 3414
Total time: 3414
Total time: 3414
Total time: 3414
Total time: 3414
Total time: 3414
Total time: 3402
Total time: 3402
Total time: 3402
Total time: 3377
Total time: 3377
Total time: 3377
Total time: 3354
Total time: 3342
Total time: 3342
Total time: 3337
Total time: 3316
Total time: 3316
Total time: 3313
Total time: 3313
Total time: 3304
Total time: 3304
Time cost: 30639s

