file_path: experiment/datasets/fjsp.hurink.vdata-la08.m5j15c5.txt
Total time: 2651
Total time: 1073
Total time: 985
Total time: 937
Total time: 937
Total time: 936
Total time: 936
Total time: 936
Total time: 936
Total time: 936
Total time: 923
Total time: 901
Total time: 901
Total time: 900
Total time: 900
Total time: 884
Total time: 884
Total time: 884
Total time: 884
Total time: 884
Total time: 884
Total time: 883
Total time: 860
Total time: 858
Total time: 858
Total time: 846
Total time: 846
Total time: 846
Total time: 846
Total time: 846
Total time: 846
Total time: 846
Total time: 846
Total time: 846
Total time: 846
Total time: 846
Total time: 846
Total time: 846
Total time: 807
Total time: 807
Total time: 807
Total time: 807
Total time: 807
Total time: 807
Total time: 807
Total time: 807
Total time: 807
Total time: 807
Total time: 807
Total time: 807
Total time: 807
Total time: 807
Total time: 807
Total time: 807
Total time: 807
Total time: 807
Total time: 807
Total time: 807
Total time: 807
Total time: 807
Time cost: 1686s

