file_path: experiment/datasets/fjsp.hurink.vdata-la21.m10j15c8.txt
Total time: 4207
Total time: 1588
Total time: 1554
Total time: 1554
Total time: 1526
Total time: 1477
Total time: 1452
Total time: 1388
Total time: 1388
Total time: 1388
Total time: 1388
Total time: 1338
Total time: 1323
Total time: 1323
Total time: 1323
Total time: 1323
Total time: 1312
Total time: 1312
Total time: 1312
Total time: 1290
Total time: 1290
Total time: 1280
Total time: 1280
Total time: 1280
Total time: 1274
Total time: 1274
Total time: 1268
Total time: 1268
Total time: 1263
Total time: 1259
Total time: 1255
Total time: 1255
Total time: 1241
Total time: 1241
Total time: 1241
Total time: 1241
Total time: 1218
Total time: 1218
Total time: 1214
Total time: 1203
Total time: 1203
Total time: 1203
Total time: 1203
Total time: 1203
Total time: 1203
Total time: 1202
Total time: 1197
Total time: 1197
Total time: 1183
Total time: 1183
Total time: 1183
Total time: 1182
Total time: 1182
Total time: 1165
Total time: 1156
Total time: 1156
Total time: 1156
Total time: 1156
Total time: 1156
Total time: 1156
Total time: 1156
Total time: 1156
Total time: 1156
Total time: 1156
Total time: 1093
Total time: 1093
Total time: 1093
Total time: 1093
Total time: 1093
Total time: 1093
Total time: 1093
Total time: 1093
Total time: 1093
Total time: 1093
Total time: 1093
Total time: 1093
Total time: 1093
Total time: 1093
Total time: 1093
Total time: 1093
Total time: 1093
Total time: 1093
Total time: 1093
Total time: 1093
Total time: 1093
Total time: 1093
Time cost: 9317s

