file_path: experiment/datasets/fjsp.hurink.vdata-la06.m5j15c5.txt
Total time: 1910
Total time: 1032
Total time: 1012
Total time: 1012
Total time: 1012
Total time: 996
Total time: 996
Total time: 996
Total time: 996
Total time: 996
Total time: 992
Total time: 979
Total time: 979
Total time: 967
Total time: 967
Total time: 959
Total time: 959
Total time: 959
Total time: 959
Total time: 959
Total time: 959
Total time: 956
Total time: 948
Total time: 937
Total time: 937
Total time: 918
Total time: 918
Total time: 918
Total time: 918
Total time: 918
Total time: 918
Total time: 918
Total time: 918
Total time: 918
Total time: 918
Total time: 918
Total time: 918
Total time: 918
Total time: 858
Total time: 858
Total time: 858
Total time: 858
Total time: 858
Total time: 858
Total time: 858
Total time: 858
Total time: 858
Total time: 858
Total time: 858
Total time: 858
Total time: 858
Total time: 858
Total time: 858
Total time: 858
Total time: 858
Total time: 858
Total time: 858
Total time: 858
Total time: 858
Total time: 858
Time cost: 1618s

