file_path: experiment/datasets/fjsp.dauzere.14a.m10j20c7.txt
Total time: 17365
Total time: 4096
Total time: 4030
Total time: 3934
Total time: 3873
Total time: 3873
Total time: 3873
Total time: 3823
Total time: 3805
Total time: 3805
Total time: 3805
Total time: 3805
Total time: 3785
Total time: 3750
Total time: 3690
Total time: 3681
Total time: 3681
Total time: 3681
Total time: 3656
Total time: 3640
Total time: 3640
Total time: 3612
Total time: 3580
Total time: 3580
Total time: 3572
Total time: 3572
Total time: 3554
Total time: 3543
Total time: 3506
Total time: 3506
Total time: 3477
Total time: 3469
Total time: 3446
Total time: 3436
Total time: 3436
Total time: 3433
Total time: 3433
Total time: 3418
Total time: 3406
Total time: 3406
Time cost: 30097s

