file_path: experiment/datasets/fjsp.hurink.vdata-la09.m5j15c5.txt
Total time: 2595
Total time: 1093
Total time: 1027
Total time: 1027
Total time: 1027
Total time: 1012
Total time: 1012
Total time: 1012
Total time: 1012
Total time: 1012
Total time: 1007
Total time: 994
Total time: 994
Total time: 960
Total time: 960
Total time: 943
Total time: 943
Total time: 943
Total time: 943
Total time: 943
Total time: 943
Total time: 943
Total time: 943
Total time: 943
Total time: 943
Total time: 943
Total time: 933
Total time: 933
Total time: 933
Total time: 933
Total time: 933
Total time: 933
Total time: 933
Total time: 933
Total time: 933
Total time: 933
Total time: 922
Total time: 917
Total time: 904
Total time: 896
Total time: 891
Total time: 889
Total time: 889
Total time: 889
Total time: 889
Total time: 889
Total time: 889
Total time: 889
Total time: 889
Total time: 889
Total time: 889
Total time: 888
Total time: 888
Total time: 888
Total time: 888
Total time: 888
Total time: 888
Total time: 888
Total time: 888
Total time: 888
Total time: 888
Total time: 888
Total time: 888
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Time cost: 2299s

