file_path: experiment/datasets/fjsp.dauzere.02a.m5j10c4.txt
Total time: 9214
Total time: 3609
Total time: 3546
Total time: 3489
Total time: 3489
Total time: 3489
Total time: 3489
Total time: 3475
Total time: 3398
Total time: 3346
Total time: 3296
Total time: 3259
Total time: 3259
Total time: 3259
Total time: 3259
Total time: 3222
Total time: 3189
Total time: 3189
Total time: 3189
Total time: 3189
Total time: 3171
Total time: 3171
Total time: 3155
Total time: 3155
Total time: 3155
Total time: 3155
Total time: 3155
Total time: 3122
Total time: 3122
Total time: 3122
Total time: 3122
Total time: 3122
Total time: 3122
Total time: 3122
Total time: 3106
Total time: 3066
Total time: 3066
Total time: 3066
Total time: 3066
Total time: 3042
Total time: 3019
Total time: 3002
Total time: 3002
Total time: 3002
Total time: 3002
Total time: 2994
Total time: 2994
Total time: 2961
Total time: 2925
Total time: 2925
Total time: 2925
Total time: 2889
Total time: 2889
Total time: 2889
Total time: 2889
Total time: 2889
Total time: 2889
Total time: 2889
Total time: 2889
Total time: 2889
Total time: 2889
Total time: 2889
Total time: 2889
Total time: 2889
Total time: 2802
Total time: 2800
Total time: 2800
Total time: 2799
Total time: 2799
Total time: 2790
Total time: 2779
Total time: 2768
Total time: 2768
Total time: 2768
Total time: 2731
Total time: 2721
Total time: 2721
Total time: 2721
Total time: 2713
Total time: 2706
Total time: 2706
Total time: 2706
Total time: 2706
Total time: 2706
Total time: 2706
Total time: 2706
Total time: 2706
Total time: 2706
Total time: 2706
Total time: 2706
Total time: 2706
Total time: 2706
Total time: 2706
Total time: 2706
Total time: 2706
Total time: 2706
Total time: 2706
Total time: 2706
Total time: 2706
Total time: 2706
Total time: 2706
Time cost: 16601s

