file_path: experiment/datasets/fjsp.hurink.vdata-la29.m10j20c9.txt
Total time: 5184
Total time: 1635
Total time: 1635
Total time: 1603
Total time: 1603
Total time: 1603
Total time: 1562
Total time: 1562
Total time: 1545
Total time: 1528
Total time: 1528
Total time: 1528
Total time: 1522
Total time: 1521
Total time: 1501
Total time: 1482
Total time: 1478
Total time: 1478
Total time: 1478
Total time: 1478
Total time: 1478
Total time: 1472
Total time: 1472
Total time: 1472
Total time: 1472
Total time: 1472
Total time: 1467
Total time: 1467
Total time: 1467
Total time: 1467
Total time: 1467
Total time: 1467
Total time: 1467
Total time: 1467
Total time: 1467
Total time: 1467
Total time: 1367
Total time: 1358
Total time: 1354
Total time: 1354
Total time: 1354
Total time: 1343
Total time: 1337
Total time: 1337
Total time: 1337
Total time: 1337
Total time: 1337
Total time: 1337
Total time: 1337
Total time: 1337
Total time: 1337
Total time: 1337
Total time: 1309
Total time: 1307
Total time: 1307
Total time: 1303
Total time: 1302
Total time: 1297
Total time: 1297
Total time: 1297
Total time: 1297
Total time: 1297
Total time: 1297
Total time: 1297
Total time: 1297
Total time: 1297
Total time: 1297
Total time: 1295
Total time: 1295
Total time: 1295
Total time: 1295
Total time: 1295
Total time: 1295
Total time: 1295
Total time: 1295
Total time: 1295
Total time: 1295
Total time: 1295
Total time: 1295
Total time: 1295
Total time: 1295
Total time: 1295
Total time: 1295
Total time: 1295
Total time: 1295
Total time: 1295
Total time: 1295
Total time: 1295
Total time: 1295
Time cost: 21958s

