file_path: experiment/datasets/fjsp.hurink.vdata-la18.m10j10c9.txt
Total time: 2685
Total time: 1152
Total time: 1105
Total time: 1053
Total time: 1023
Total time: 1023
Total time: 1023
Total time: 1001
Total time: 1001
Total time: 987
Total time: 987
Total time: 975
Total time: 967
Total time: 967
Total time: 963
Total time: 956
Total time: 954
Total time: 942
Total time: 942
Total time: 940
Total time: 940
Total time: 940
Total time: 940
Total time: 937
Total time: 937
Total time: 937
Total time: 937
Total time: 937
Total time: 937
Total time: 937
Total time: 937
Total time: 937
Total time: 937
Total time: 937
Total time: 937
Total time: 897
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Total time: 885
Time cost: 3722s

