file_path: experiment/datasets/fjsp.dauzere.08a.m8j15c6.txt
Total time: 14023
Total time: 3738
Total time: 3619
Total time: 3619
Total time: 3619
Total time: 3553
Total time: 3492
Total time: 3492
Total time: 3492
Total time: 3492
Total time: 3464
Total time: 3444
Total time: 3444
Total time: 3368
Total time: 3351
Total time: 3312
Total time: 3300
Total time: 3300
Total time: 3287
Total time: 3287
Total time: 3287
Total time: 3287
Total time: 3287
Total time: 3281
Total time: 3269
Total time: 3269
Total time: 3244
Total time: 3244
Total time: 3234
Total time: 3210
Total time: 3198
Total time: 3198
Total time: 3194
Total time: 3194
Total time: 3194
Total time: 3189
Total time: 3181
Total time: 3176
Total time: 3170
Total time: 3167
Total time: 3154
Total time: 3152
Total time: 3152
Total time: 3152
Total time: 3151
Total time: 3151
Total time: 3151
Total time: 3151
Total time: 3151
Total time: 3151
Total time: 3151
Total time: 3151
Total time: 3151
Total time: 3151
Total time: 3151
Total time: 2853
Total time: 2853
Total time: 2824
Total time: 2819
Total time: 2819
Total time: 2815
Total time: 2798
Total time: 2798
Total time: 2798
Total time: 2798
Total time: 2796
Total time: 2796
Total time: 2796
Total time: 2793
Total time: 2793
Total time: 2771
Total time: 2760
Total time: 2740
Total time: 2730
Total time: 2730
Total time: 2722
Total time: 2720
Total time: 2720
Total time: 2720
Total time: 2720
Total time: 2720
Total time: 2720
Total time: 2720
Total time: 2720
Total time: 2720
Time cost: 30066s

