file_path: experiment/datasets/fjsp.dauzere.03a.m5j10c5.txt
Total time: 9717
Total time: 3480
Total time: 3400
Total time: 3322
Total time: 3322
Total time: 3322
Total time: 3322
Total time: 3322
Total time: 3291
Total time: 3263
Total time: 3244
Total time: 3230
Total time: 3230
Total time: 3230
Total time: 3230
Total time: 3218
Total time: 3206
Total time: 3206
Total time: 3206
Total time: 3206
Total time: 3194
Total time: 3194
Total time: 3174
Total time: 3174
Total time: 3174
Total time: 3174
Total time: 3174
Total time: 3168
Total time: 3168
Total time: 3168
Total time: 3168
Total time: 3168
Total time: 3168
Total time: 3168
Total time: 3156
Total time: 3156
Total time: 3156
Total time: 3156
Total time: 3156
Total time: 3152
Total time: 3143
Total time: 3136
Total time: 3136
Total time: 3136
Total time: 3136
Total time: 3112
Total time: 3112
Total time: 3083
Total time: 3079
Total time: 3079
Total time: 3079
Total time: 3072
Total time: 3065
Total time: 3065
Total time: 3063
Total time: 3053
Total time: 3053
Total time: 3045
Total time: 3045
Total time: 3045
Total time: 3045
Total time: 3045
Total time: 3045
Total time: 3045
Total time: 3045
Total time: 3045
Total time: 3045
Total time: 2834
Total time: 2834
Total time: 2834
Total time: 2834
Total time: 2824
Total time: 2824
Total time: 2810
Total time: 2807
Total time: 2807
Total time: 2801
Total time: 2784
Total time: 2784
Total time: 2784
Total time: 2784
Total time: 2784
Total time: 2784
Total time: 2784
Total time: 2784
Total time: 2778
Total time: 2778
Total time: 2778
Total time: 2778
Total time: 2778
Total time: 2778
Total time: 2778
Total time: 2778
Total time: 2778
Total time: 2778
Total time: 2778
Total time: 2770
Total time: 2770
Total time: 2770
Total time: 2770
Total time: 2770
Total time: 2769
Total time: 2761
Total time: 2761
Total time: 2761
Total time: 2761
Total time: 2759
Total time: 2758
Total time: 2756
Total time: 2750
Total time: 2750
Total time: 2750
Total time: 2750
Total time: 2750
Total time: 2750
Total time: 2750
Total time: 2750
Total time: 2750
Total time: 2750
Total time: 2714
Total time: 2714
Total time: 2710
Total time: 2710
Total time: 2710
Total time: 2709
Total time: 2709
Total time: 2709
Total time: 2709
Total time: 2709
Total time: 2709
Total time: 2709
Total time: 2709
Total time: 2709
Total time: 2709
Total time: 2709
Total time: 2709
Total time: 2680
Total time: 2680
Total time: 2659
Total time: 2659
Total time: 2650
Total time: 2618
Total time: 2616
Total time: 2616
Total time: 2615
Total time: 2615
Total time: 2613
Total time: 2613
Total time: 2613
Total time: 2613
Total time: 2613
Total time: 2613
Total time: 2613
Total time: 2613
Total time: 2613
Total time: 2613
Total time: 2613
Total time: 2613
Total time: 2601
Total time: 2601
Total time: 2601
Total time: 2601
Total time: 2601
Total time: 2601
Total time: 2601
Total time: 2601
Total time: 2601
Total time: 2601
Total time: 2601
Total time: 2601
Total time: 2601
Total time: 2601
Total time: 2601
Total time: 2601
Total time: 2601
Total time: 2601
Total time: 2601
Total time: 2601
Total time: 2601
Total time: 2601
Time cost: 29134s

