file_path: experiment/datasets/fjsp.hurink.vdata-la28.m10j20c9.txt
Total time: 5424
Total time: 1814
Total time: 1767
Total time: 1687
Total time: 1687
Total time: 1687
Total time: 1666
Total time: 1666
Total time: 1645
Total time: 1643
Total time: 1643
Total time: 1643
Total time: 1642
Total time: 1642
Total time: 1642
Total time: 1642
Total time: 1642
Total time: 1642
Total time: 1642
Total time: 1642
Total time: 1642
Total time: 1642
Total time: 1642
Total time: 1642
Total time: 1642
Total time: 1447
Total time: 1447
Total time: 1445
Total time: 1445
Total time: 1445
Total time: 1437
Total time: 1432
Total time: 1432
Total time: 1432
Total time: 1431
Total time: 1404
Total time: 1402
Total time: 1398
Total time: 1393
Total time: 1393
Total time: 1388
Total time: 1388
Total time: 1388
Total time: 1388
Total time: 1374
Total time: 1373
Total time: 1373
Total time: 1372
Total time: 1372
Total time: 1369
Total time: 1369
Total time: 1369
Total time: 1367
Total time: 1362
Total time: 1362
Total time: 1362
Total time: 1362
Total time: 1362
Total time: 1362
Total time: 1362
Total time: 1362
Total time: 1362
Total time: 1362
Total time: 1362
Total time: 1357
Total time: 1357
Total time: 1357
Total time: 1357
Total time: 1357
Total time: 1357
Total time: 1357
Total time: 1357
Total time: 1357
Total time: 1357
Total time: 1357
Total time: 1348
Total time: 1345
Total time: 1336
Total time: 1336
Total time: 1336
Total time: 1336
Total time: 1336
Total time: 1336
Total time: 1336
Total time: 1336
Total time: 1336
Total time: 1336
Total time: 1327
Total time: 1327
Total time: 1327
Total time: 1327
Total time: 1327
Total time: 1327
Total time: 1327
Total time: 1327
Total time: 1327
Total time: 1327
Total time: 1327
Total time: 1327
Total time: 1327
Total time: 1327
Total time: 1327
Total time: 1327
Total time: 1327
Total time: 1327
Total time: 1327
Total time: 1327
Total time: 1327
Total time: 1327
Time cost: 20870s

