file_path: experiment/datasets/fjsp.hurink.vdata-la26.m10j20c9.txt
Total time: 5572
Total time: 1943
Total time: 1746
Total time: 1683
Total time: 1683
Total time: 1683
Total time: 1626
Total time: 1626
Total time: 1595
Total time: 1570
Total time: 1570
Total time: 1570
Total time: 1554
Total time: 1539
Total time: 1525
Total time: 1514
Total time: 1502
Total time: 1502
Total time: 1502
Total time: 1502
Total time: 1502
Total time: 1494
Total time: 1494
Total time: 1494
Total time: 1494
Total time: 1494
Total time: 1493
Total time: 1493
Total time: 1493
Total time: 1488
Total time: 1487
Total time: 1486
Total time: 1486
Total time: 1481
Total time: 1479
Total time: 1479
Total time: 1479
Total time: 1477
Total time: 1475
Total time: 1475
Total time: 1475
Total time: 1475
Total time: 1475
Total time: 1475
Total time: 1475
Total time: 1475
Total time: 1475
Total time: 1475
Total time: 1362
Total time: 1362
Total time: 1339
Total time: 1336
Total time: 1320
Total time: 1318
Total time: 1318
Total time: 1318
Total time: 1318
Total time: 1318
Total time: 1318
Total time: 1318
Total time: 1318
Total time: 1318
Total time: 1311
Total time: 1308
Total time: 1308
Total time: 1303
Total time: 1303
Total time: 1303
Total time: 1303
Total time: 1303
Total time: 1299
Total time: 1299
Total time: 1299
Total time: 1287
Total time: 1287
Total time: 1287
Total time: 1287
Total time: 1280
Total time: 1280
Total time: 1280
Total time: 1280
Total time: 1276
Total time: 1276
Total time: 1274
Total time: 1267
Total time: 1267
Total time: 1267
Total time: 1267
Total time: 1267
Total time: 1267
Total time: 1267
Total time: 1267
Total time: 1265
Total time: 1264
Total time: 1264
Total time: 1264
Total time: 1263
Total time: 1260
Total time: 1258
Total time: 1258
Total time: 1258
Total time: 1258
Total time: 1258
Total time: 1258
Total time: 1258
Total time: 1258
Total time: 1258
Total time: 1258
Total time: 1252
Total time: 1252
Total time: 1252
Total time: 1247
Total time: 1247
Total time: 1247
Total time: 1243
Total time: 1243
Total time: 1243
Total time: 1243
Total time: 1243
Total time: 1243
Total time: 1243
Total time: 1243
Total time: 1243
Total time: 1243
Total time: 1236
Total time: 1236
Total time: 1236
Total time: 1236
Total time: 1236
Total time: 1236
Total time: 1236
Total time: 1236
Total time: 1236
Total time: 1236
Total time: 1236
Total time: 1236
Total time: 1236
Total time: 1236
Total time: 1236
Total time: 1236
Total time: 1236
Total time: 1236
Total time: 1236
Total time: 1236
Total time: 1236
Total time: 1236
Time cost: 29608s

