file_path: experiment/datasets/fjsp.hurink.vdata-la25.m10j15c9.txt
Total time: 4138
Total time: 1448
Total time: 1395
Total time: 1395
Total time: 1346
Total time: 1316
Total time: 1300
Total time: 1300
Total time: 1300
Total time: 1300
Total time: 1300
Total time: 1287
Total time: 1278
Total time: 1278
Total time: 1278
Total time: 1278
Total time: 1259
Total time: 1259
Total time: 1259
Total time: 1238
Total time: 1238
Total time: 1233
Total time: 1233
Total time: 1233
Total time: 1221
Total time: 1221
Total time: 1206
Total time: 1206
Total time: 1206
Total time: 1206
Total time: 1206
Total time: 1206
Total time: 1206
Total time: 1206
Total time: 1206
Total time: 1206
Total time: 1206
Total time: 1206
Total time: 1127
Total time: 1127
Total time: 1112
Total time: 1112
Total time: 1112
Total time: 1112
Total time: 1112
Total time: 1112
Total time: 1112
Total time: 1112
Total time: 1112
Total time: 1106
Total time: 1106
Total time: 1090
Total time: 1090
Total time: 1090
Total time: 1090
Total time: 1090
Total time: 1090
Total time: 1090
Total time: 1090
Total time: 1090
Total time: 1090
Total time: 1090
Total time: 1090
Total time: 1013
Total time: 1010
Total time: 1008
Total time: 1007
Total time: 1000
Total time: 1000
Total time: 1000
Total time: 1000
Total time: 1000
Total time: 1000
Total time: 1000
Total time: 1000
Total time: 1000
Total time: 1000
Total time: 1000
Total time: 1000
Total time: 1000
Total time: 1000
Total time: 949
Total time: 949
Total time: 949
Total time: 949
Total time: 949
Total time: 949
Total time: 949
Total time: 949
Total time: 949
Total time: 949
Total time: 930
Total time: 929
Total time: 929
Total time: 929
Total time: 929
Total time: 929
Total time: 929
Total time: 929
Total time: 929
Total time: 929
Total time: 929
Total time: 929
Total time: 929
Total time: 929
Total time: 929
Total time: 929
Total time: 929
Total time: 929
Total time: 929
Total time: 929
Total time: 929
Total time: 929
Total time: 929
Time cost: 15400s

