file_path: experiment/datasets/fjsp.hurink.vdata-la13.m5j20c4.txt
Total time: 3320
Total time: 1474
Total time: 1416
Total time: 1397
Total time: 1358
Total time: 1351
Total time: 1350
Total time: 1325
Total time: 1230
Total time: 1230
Total time: 1230
Total time: 1187
Total time: 1187
Total time: 1187
Total time: 1187
Total time: 1177
Total time: 1177
Total time: 1144
Total time: 1144
Total time: 1133
Total time: 1133
Total time: 1133
Total time: 1133
Total time: 1133
Total time: 1133
Total time: 1133
Total time: 1133
Total time: 1133
Total time: 1133
Total time: 1080
Total time: 1080
Total time: 1080
Total time: 1080
Total time: 1080
Total time: 1071
Total time: 1071
Total time: 1063
Total time: 1063
Total time: 1063
Total time: 1063
Total time: 1063
Total time: 1063
Total time: 1063
Total time: 1063
Total time: 1063
Total time: 1063
Total time: 1063
Total time: 1061
Total time: 1056
Total time: 1056
Total time: 1056
Total time: 1056
Total time: 1056
Total time: 1054
Total time: 1053
Total time: 1053
Total time: 1053
Total time: 1053
Total time: 1053
Total time: 1053
Total time: 1053
Total time: 1053
Total time: 1053
Total time: 1053
Total time: 1053
Total time: 1053
Total time: 1053
Total time: 1053
Total time: 1053
Total time: 1053
Total time: 1053
Total time: 1053
Total time: 1053
Total time: 1053
Total time: 1053
Total time: 1053
Time cost: 3611s

