file_path: experiment/datasets/fjsp.hurink.vdata-la19.m10j10c8.txt
Total time: 2766
Total time: 1221
Total time: 1155
Total time: 1105
Total time: 1084
Total time: 1065
Total time: 1065
Total time: 1033
Total time: 1033
Total time: 1016
Total time: 1016
Total time: 1006
Total time: 997
Total time: 997
Total time: 960
Total time: 950
Total time: 945
Total time: 934
Total time: 934
Total time: 928
Total time: 928
Total time: 928
Total time: 928
Total time: 925
Total time: 922
Total time: 922
Total time: 922
Total time: 922
Total time: 902
Total time: 902
Total time: 902
Total time: 902
Total time: 902
Total time: 902
Total time: 902
Total time: 902
Total time: 902
Total time: 902
Total time: 894
Total time: 894
Total time: 894
Total time: 894
Total time: 894
Total time: 894
Total time: 894
Total time: 894
Total time: 894
Total time: 894
Total time: 894
Total time: 894
Total time: 894
Total time: 894
Total time: 894
Total time: 894
Total time: 894
Total time: 894
Total time: 894
Total time: 894
Total time: 894
Total time: 894
Time cost: 3536s

