file_path: experiment/datasets/fjsp.hurink.vdata-la22.m10j15c8.txt
Total time: 4088
Total time: 1519
Total time: 1458
Total time: 1305
Total time: 1278
Total time: 1237
Total time: 1224
Total time: 1224
Total time: 1224
Total time: 1224
Total time: 1224
Total time: 1216
Total time: 1209
Total time: 1209
Total time: 1209
Total time: 1209
Total time: 1207
Total time: 1207
Total time: 1207
Total time: 1193
Total time: 1193
Total time: 1180
Total time: 1180
Total time: 1180
Total time: 1167
Total time: 1167
Total time: 1152
Total time: 1152
Total time: 1145
Total time: 1138
Total time: 1124
Total time: 1124
Total time: 1124
Total time: 1124
Total time: 1124
Total time: 1124
Total time: 1124
Total time: 1124
Total time: 1124
Total time: 1124
Total time: 1124
Total time: 1045
Total time: 1045
Total time: 1042
Total time: 1042
Total time: 1042
Total time: 1042
Total time: 1042
Total time: 1042
Total time: 1042
Total time: 1042
Total time: 1042
Total time: 1042
Total time: 1042
Total time: 987
Total time: 987
Total time: 983
Total time: 979
Total time: 979
Total time: 979
Total time: 979
Total time: 979
Total time: 979
Total time: 979
Total time: 979
Total time: 979
Total time: 979
Total time: 972
Total time: 968
Total time: 965
Total time: 965
Total time: 965
Total time: 965
Total time: 965
Total time: 965
Total time: 965
Total time: 965
Total time: 965
Total time: 965
Total time: 934
Total time: 934
Total time: 934
Total time: 932
Total time: 932
Total time: 932
Total time: 932
Total time: 932
Total time: 932
Total time: 932
Total time: 932
Total time: 932
Total time: 932
Total time: 932
Total time: 932
Total time: 932
Total time: 932
Total time: 932
Total time: 932
Total time: 932
Total time: 932
Total time: 932
Total time: 932
Total time: 932
Total time: 932
Time cost: 13020s

