file_path: experiment/datasets/fjsp.hurink.vdata-la04.m5j10c4.txt
Total time: 1839
Total time: 692
Total time: 644
Total time: 644
Total time: 644
Total time: 644
Total time: 644
Total time: 629
Total time: 629
Total time: 629
Total time: 629
Total time: 629
Total time: 629
Total time: 629
Total time: 629
Total time: 629
Total time: 620
Total time: 590
Total time: 590
Total time: 590
Total time: 590
Total time: 590
Total time: 590
Total time: 590
Total time: 590
Total time: 590
Total time: 590
Total time: 558
Total time: 558
Total time: 558
Total time: 558
Total time: 558
Total time: 558
Total time: 558
Total time: 558
Total time: 558
Total time: 558
Total time: 558
Total time: 558
Total time: 558
Total time: 558
Total time: 558
Total time: 558
Total time: 558
Total time: 558
Total time: 558
Total time: 558
Total time: 558
Total time: 558
Time cost: 713s

