file_path: experiment/datasets/fjsp.brandimarte.Mk02.m6j10c6.txt
Total time: 129
Total time: 36
Total time: 36
Total time: 36
Total time: 36
Total time: 36
Total time: 36
Total time: 36
Total time: 35
Total time: 35
Total time: 34
Total time: 33
Total time: 33
Total time: 32
Total time: 32
Total time: 32
Total time: 32
Total time: 32
Total time: 32
Total time: 32
Total time: 32
Total time: 32
Total time: 32
Total time: 31
Total time: 31
Total time: 31
Total time: 31
Total time: 31
Total time: 31
Total time: 31
Total time: 31
Total time: 31
Total time: 31
Total time: 31
Total time: 31
Total time: 31
Total time: 31
Total time: 31
Total time: 31
Total time: 31
Total time: 31
Total time: 31
Total time: 31
Total time: 31
Total time: 31
Time cost: 927s

