file_path: experiment/datasets/fjsp.brandimarte.Mk07.m5j20c5.txt
Total time: 677
Total time: 176
Total time: 170
Total time: 166
Total time: 166
Total time: 166
Total time: 166
Total time: 166
Total time: 166
Total time: 166
Total time: 166
Total time: 166
Total time: 166
Total time: 160
Total time: 160
Total time: 160
Total time: 160
Total time: 160
Total time: 160
Total time: 160
Total time: 160
Total time: 160
Total time: 160
Total time: 155
Total time: 155
Total time: 155
Total time: 155
Total time: 155
Total time: 155
Total time: 155
Total time: 155
Total time: 155
Total time: 155
Total time: 155
Total time: 155
Total time: 155
Total time: 155
Total time: 155
Total time: 155
Total time: 155
Total time: 155
Total time: 155
Total time: 155
Total time: 155
Total time: 155
Time cost: 2077s

