file_path: experiment/datasets/fjsp.hurink.vdata-la10.m5j15c5.txt
Total time: 2159
Total time: 1005
Total time: 965
Total time: 965
Total time: 965
Total time: 937
Total time: 937
Total time: 937
Total time: 937
Total time: 937
Total time: 921
Total time: 916
Total time: 916
Total time: 914
Total time: 914
Total time: 911
Total time: 911
Total time: 911
Total time: 911
Total time: 911
Total time: 911
Total time: 910
Total time: 910
Total time: 910
Total time: 910
Total time: 910
Total time: 910
Total time: 910
Total time: 910
Total time: 910
Total time: 910
Total time: 910
Total time: 910
Total time: 910
Total time: 857
Total time: 857
Total time: 857
Total time: 857
Total time: 857
Total time: 857
Total time: 857
Total time: 857
Total time: 857
Total time: 857
Total time: 857
Total time: 857
Total time: 851
Total time: 851
Total time: 851
Total time: 851
Total time: 851
Total time: 851
Total time: 851
Total time: 851
Total time: 851
Total time: 851
Total time: 851
Total time: 851
Total time: 851
Total time: 851
Total time: 851
Total time: 851
Total time: 851
Total time: 851
Total time: 851
Total time: 851
Total time: 851
Total time: 851
Time cost: 2008s

