file_path: experiment/datasets/fjsp.dauzere.13a.m10j20c4.txt
Total time: 18093
Total time: 4014
Total time: 3918
Total time: 3918
Total time: 3839
Total time: 3839
Total time: 3839
Total time: 3793
Total time: 3762
Total time: 3762
Total time: 3762
Total time: 3762
Total time: 3751
Total time: 3743
Total time: 3736
Total time: 3714
Total time: 3714
Total time: 3714
Total time: 3706
Total time: 3691
Total time: 3691
Total time: 3679
Total time: 3667
Total time: 3667
Total time: 3660
Total time: 3660
Total time: 3636
Total time: 3607
Total time: 3606
Total time: 3606
Total time: 3605
Total time: 3600
Total time: 3577
Total time: 3571
Total time: 3571
Total time: 3543
Total time: 3543
Total time: 3539
Total time: 3533
Total time: 3525
Total time: 3525
Total time: 3525
Total time: 3523
Total time: 3513
Total time: 3492
Total time: 3492
Time cost: 30423s

