file_path: experiment/datasets/fjsp.brandimarte.Mk03.m8j15c5.txt
Total time: 965
Total time: 238
Total time: 226
Total time: 226
Total time: 224
Total time: 222
Total time: 222
Total time: 222
Total time: 222
Total time: 222
Total time: 222
Total time: 222
Total time: 222
Total time: 222
Total time: 222
Total time: 222
Total time: 221
Total time: 221
Total time: 221
Total time: 220
Total time: 220
Total time: 213
Total time: 213
Total time: 213
Total time: 213
Total time: 213
Total time: 213
Total time: 213
Total time: 213
Total time: 213
Total time: 213
Total time: 213
Total time: 213
Total time: 213
Total time: 213
Total time: 213
Total time: 213
Total time: 213
Total time: 213
Total time: 213
Total time: 213
Total time: 213
Total time: 213
Time cost: 5191s

