file_path: experiment/datasets/fjsp.hurink.vdata-la23.m10j15c8.txt
Total time: 4658
Total time: 1687
Total time: 1621
Total time: 1609
Total time: 1586
Total time: 1540
Total time: 1489
Total time: 1489
Total time: 1489
Total time: 1489
Total time: 1459
Total time: 1386
Total time: 1338
Total time: 1338
Total time: 1338
Total time: 1338
Total time: 1338
Total time: 1338
Total time: 1338
Total time: 1338
Total time: 1338
Total time: 1338
Total time: 1074
Total time: 1073
Total time: 1073
Total time: 1073
Total time: 1073
Total time: 1073
Total time: 1073
Total time: 1073
Total time: 1073
Total time: 1073
Total time: 1073
Total time: 1073
Total time: 1073
Total time: 1073
Total time: 1073
Total time: 1073
Total time: 1073
Total time: 1073
Total time: 1073
Total time: 1073
Total time: 1073
Total time: 1073
Total time: 1073
Time cost: 6870s

