file_path: experiment/datasets/fjsp.hurink.vdata-la24.m10j15c8.txt
Total time: 3911
Total time: 1448
Total time: 1360
Total time: 1360
Total time: 1322
Total time: 1287
Total time: 1257
Total time: 1257
Total time: 1257
Total time: 1257
Total time: 1257
Total time: 1231
Total time: 1221
Total time: 1221
Total time: 1221
Total time: 1221
Total time: 1216
Total time: 1216
Total time: 1216
Total time: 1209
Total time: 1209
Total time: 1178
Total time: 1178
Total time: 1178
Total time: 1176
Total time: 1176
Total time: 1173
Total time: 1173
Total time: 1167
Total time: 1163
Total time: 1159
Total time: 1159
Total time: 1150
Total time: 1150
Total time: 1150
Total time: 1150
Total time: 1144
Total time: 1144
Total time: 1132
Total time: 1126
Total time: 1126
Total time: 1126
Total time: 1126
Total time: 1126
Total time: 1126
Total time: 1125
Total time: 1123
Total time: 1123
Total time: 1115
Total time: 1115
Total time: 1115
Total time: 1115
Total time: 1115
Total time: 1115
Total time: 1115
Total time: 1115
Total time: 1115
Total time: 1115
Total time: 1115
Total time: 1099
Total time: 1099
Total time: 1099
Total time: 1099
Total time: 1099
Total time: 1099
Total time: 1099
Total time: 1099
Total time: 1099
Total time: 1099
Total time: 1099
Total time: 1099
Total time: 1099
Total time: 1099
Total time: 1099
Total time: 1099
Total time: 1099
Total time: 1099
Total time: 1099
Total time: 1099
Total time: 1099
Total time: 1099
Time cost: 11246s

